bal,20160505,nya,7
cha,20160505,bos,8.5
chn,20160505,was,7.5
cin,20160505,mil,9
cle,20160505,det,8.5
hou,20160505,sea,9
mia,20160505,ari,8.5
sdn,20160505,nyn,7
sfn,20160505,col,7.5
sln,20160505,phi,6.5
tor,20160505,tex,8.5
ana,20160506,tba,7.5
atl,20160506,ari,7
cha,20160506,min,9
chn,20160506,was,8.5
cin,20160506,mil,8.5
cle,20160506,kca,7
det,20160506,tex,8
hou,20160506,sea,9
mia,20160506,phi,7
nya,20160506,bos,7
sdn,20160506,nyn,6.5
sfn,20160506,col,7
sln,20160506,pit,7.5
tor,20160506,lan,8
ana,20160507,tba,8
atl,20160507,ari,7.5
bal,20160507,oak,8
bal,20160507,oak,8
cha,20160507,min,7
chn,20160507,was,7.5
cin,20160507,mil,9
cle,20160507,kca,8.5
det,20160507,tex,10
hou,20160507,sea,8.5
mia,20160507,phi,8.5
nya,20160507,bos,7.5
sdn,20160507,nyn,7.5
sfn,20160507,col,7
sln,20160507,pit,9
tor,20160507,lan,8
ana,20160508,tba,8
atl,20160508,ari,8
bal,20160508,oak,8.5
cha,20160508,min,7.5
chn,20160508,was,8
cin,20160508,mil,8.5
cle,20160508,kca,7.5
det,20160508,tex,9
hou,20160508,sea,8.5
mia,20160508,phi,7
nya,20160508,bos,8.5
sdn,20160508,nyn,7.5
sfn,20160508,col,8
sln,20160508,pit,7.5
tor,20160508,lan,9.5
bos,20160509,oak,8.5
cin,20160509,pit,9
col,20160509,ari,11
hou,20160509,cle,7.5
lan,20160509,nyn,7
mia,20160509,mil,7.5
nya,20160509,kca,8
sea,20160509,tba,7
sfn,20160509,tor,8
tex,20160509,cha,9.5
was,20160509,det,7
ana,20160510,sln,8
atl,20160510,phi,7.5
bos,20160510,oak,9.5
chn,20160510,sdn,7.5
col,20160510,ari,10.5
hou,20160510,cle,8.5
lan,20160510,nyn,7
mia,20160510,mil,8.5
min,20160510,bal,7.5
nya,20160510,kca,7
sea,20160510,tba,7
sfn,20160510,tor,8
tex,20160510,cha,9
was,20160510,det,7.5
ana,20160511,sln,7.5
atl,20160511,phi,7.5
bos,20160511,oak,9
chn,20160511,sdn,7.5
chn,20160511,sdn,8
cin,20160511,pit,9
col,20160511,ari,10.5
hou,20160511,cle,8
lan,20160511,nyn,6.5
